OBJECTID,FIPSCODE,FIPSNUM,NAME,LABEL,TYPE,SQKM,SQMILES,ACRES,VER,LAYOUT,PENINSULA,ShapeSTArea,ShapeSTLength
1306,73300,73300,Sherman,Sherman Township,Township,90.568,34.968,22379.662,17A,landscape,lower,163457323.5625,54879.8779519627
1307,29060,29060,Florence,Florence Township,Township,87.528,33.795,21628.37,17A,landscape,lower,157970278.363281,53838.5670902827
1308,17860,17860,Constantine,Constantine Township,Township,92.202,35.599,22783.398,17A,landscape,lower,166374973.4375,52685.925106531
1309,86940,86940,White Pigeon,White Pigeon Township,Township,71.285,27.523,17614.756,17A,landscape,lower,128378832.324219,49827.7491436154
1310,11940,11940,Burr Oak,Burr Oak Township,Township,93.06,35.93,22995.377,17A,landscape,lower,167958400.09375,55048.4818388212
1311,55780,55780,Mottville,Mottville Township,Township,51.609,19.926,12752.686,17A,landscape,lower,92922549.046875,43398.1374664334
1312,27540,27540,Fawn River,Fawn River Township,Township,50.834,19.627,12561.298,17A,landscape,lower,91547377.7070312,49864.146106271
1313,76960,76960,Sturgis,City of Sturgis,City,16.539,6.386,4086.82,17A,portrait,lower,29799067.6523438,71553.2582016932
1314,76980,76980,Sturgis,Sturgis Township,Township,46.284,17.87,11436.882,17A,landscape,lower,83345746.9375,72748.412403093
1315,21380,21380,Delaware,Delaware Township,Township,120.326,46.458,29732.976,17A,landscape,lower,229866219.832031,64534.8417787416
1316,54540,54540,Minden,Minden Township,Township,93.546,36.118,23115.496,17A,portrait,lower,178701656.097656,53501.4600531403
1317,04400,4400,Austin,Austin Township,Township,93.624,36.148,23134.84,17A,portrait,lower,178842312.742188,53576.2911301492
1318,35020,35020,Greenleaf,Greenleaf Township,Township,93.326,36.033,23061.201,17A,portrait,lower,178264083.328125,53427.6947157501
1319,29500,29500,Forester,Forester Township,Township,65.443,25.268,16171.263,17A,portrait,lower,124548250.15625,55444.3321872537
1320,51720,51720,Marion,Marion Township,Township,93.468,36.088,23096.182,17A,portrait,lower,178050388.875,53410.1964857491
1321,86580,86580,Wheatland,Wheatland Township,Township,94.265,36.396,23293.173,17A,portrait,lower,179561876.5625,53588.113744399
1322,03460,3460,Argyle,Argyle Township,Township,94.07,36.32,23244.939,17A,portrait,lower,179180921.042969,53500.1174009779
1323,26740,26740,Evergreen,Evergreen Township,Township,91.882,35.476,22704.361,17A,portrait,lower,175004124.59375,52940.0711408882
1324,10420,10420,Bridgehampton,Bridgehampton Township,Township,93.721,36.186,23158.723,17A,portrait,lower,178024328.019531,53583.4625204948
1325,19460,19460,Custer,Custer Township,Township,91.394,35.287,22583.824,17A,portrait,lower,173602473.707031,59635.5598457657
1326,55320,55320,Moore,Moore Township,Township,94.016,36.3,23231.572,17A,portrait,lower,178567734.128906,53475.2457219076
1327,45460,45460,Lamotte,Lamotte Township,Township,91.852,35.464,22696.929,17A,portrait,lower,174449236.605469,52784.7200105891
1328,71580,71580,Sanilac,Sanilac Township,Township,105.764,40.836,26134.586,17A,portrait,lower,200473446.546875,62818.2165015454
1329,71540,71540,Sandusky,City of Sandusky,City,5.685,2.195,1404.708,17A,landscape,lower,10782006.9726562,25153.2469920334
1330,84140,84140,Washington,Washington Township,Township,93.66,36.162,23143.622,17A,portrait,lower,177403610.0625,53248.3654225829
1331,84440,84440,Watertown,Watertown Township,Township,90.764,35.044,22427.935,17A,portrait,lower,171898560.203125,61757.5873336221
1332,25540,25540,Elmer,Elmer Township,Township,94.092,36.329,23250.438,17A,portrait,lower,178204308.839844,53410.3102301327
1333,51840,51840,Marlette,Marlette Township,Township,135.877,52.462,33575.467,17A,portrait,lower,257155310.710938,85690.4380434998
1334,47300,47300,Lexington,Lexington Township,Township,93.751,36.197,23166.051,17A,landscape,lower,177081391.203125,79288.2736122555
1335,11540,11540,Buel,Buel Township,Township,97.512,37.649,24095.403,17A,portrait,lower,184164426.917969,54221.2857165367
1336,25280,25280,Elk,Elk Township,Township,92.368,35.663,22824.299,17A,portrait,lower,174439490.332031,52927.5591353558
1337,51820,51820,Marlette,City of Marlette,City,4.188,1.617,1034.914,17A,portrait,lower,7920401.3984375,15442.9666988601
1338,29240,29240,Flynn,Flynn Township,Township,92.818,35.837,22935.62,17A,portrait,lower,175288885.296875,52996.7697811108
1339,18920,18920,Croswell,City of Croswell,City,6.197,2.393,1531.343,17A,portrait,lower,11696509.6992188,21794.2519216518
1340,88760,88760,Worth,Worth Township,Township,100.549,38.822,24845.928,17A,landscape,lower,189367381.199219,56223.7410553577
1341,30740,30740,Fremont,Fremont Township,Township,90.692,35.016,22410.281,17A,landscape,lower,170799422.390625,52359.8039630303
1342,75500,75500,Speaker,Speaker Township,Township,89.473,34.546,22109.067,17A,landscape,lower,168496761.457031,51919.5516754458
1343,51380,51380,Maple Valley,Maple Valley Township,Township,89.4,34.518,22091.085,17A,landscape,lower,168354345.730469,62735.4271957397
1344,37940,37940,Hiawatha,Hiawatha Township,Township,752.708,290.621,185996.316,17A,portrait,upper,1575034362.53906,256542.671133874
